"Name","API Name","Instance Memory","vCPUs","Physical Processor","Clock Speed(GHz)","Instance Storage","Arch","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost"
"X2IEDN Extra Large","x2iedn.xlarge","128.0 GiB","4 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","118 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$0.8336 hourly","$0.5129 hourly","$0.2226 hourly"
"X1E Extra Large","x1e.xlarge","122.0 GiB","4 vCPUs","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","120 GB                 SSD","64-bit","Up to 10 Gigabit","$0.8340 hourly","$0.5140 hourly","$0.1618 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","16 vCPUs","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","320 GB                 (2 * 160 GB SSD)","64-bit","High","$0.8400 hourly","$0.5840 hourly","$0.2368 hourly"
"I2 Extra Large","i2.xlarge","30.5 GiB","4 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","800 GB                 SSD","64-bit","Moderate","$0.8530 hourly","$0.4240 hourly","$0.1948 hourly"
"M7GD Quadruple Extra Large","m7gd.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 15 Gigabit","$0.8543 hourly","$0.5382 hourly","$0.3793 hourly"
"R7G Quadruple Extra Large","r7g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.8568 hourly","$0.5668 hourly","$0.2642 hourly"
"C5N Quadruple Extra Large","c5n.4xlarge","42.0 GiB","16 vCPUs","Intel Xeon Platinum 8124M","3 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.8640 hourly","$0.5440 hourly","$0.4063 hourly"
"G4AD Quadruple Extra Large","g4ad.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R32","2.8 GHz","600 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.8670 hourly","$0.5462 hourly","$0.3848 hourly"
"P2 General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","4 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","High","$0.9000 hourly","$0.6140 hourly","$0.2550 hourly"
"I3EN Double Extra Large","i3en.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","5000 GB                 (2 * 2500 GB NVMe SSD)","64-bit","Up to 25 Gigabit","$0.9040 hourly","$0.6160 hourly","$0.3914 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$0.9040 hourly","$0.5700 hourly","$0.3529 hourly"
"M5 General Purpose Quadruple Extra Large","m5d.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$0.9040 hourly","$0.5700 hourly","$0.3693 hourly"
"R6A Quadruple Extra Large","r6a.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.9072 hourly","$0.6001 hourly","$0.2444 hourly"
"C6IN Quadruple Extra Large","c6in.4xlarge","32.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 50 Gigabit","$0.9072 hourly","$0.5715 hourly","$0.3678 hourly"
"R6GD Quadruple Extra Large","r6gd.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.9216 hourly","$0.5806 hourly","$0.2943 hourly"
"M7A Quadruple Extra Large","m7a.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$0.9274 hourly","$0.6135 hourly","$0.3602 hourly"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","4000 GB                 (2 * 2000 GB HDD)","64-bit","Up to 10 Gigabit","$0.9360 hourly","$0.6360 hourly","$0.4278 hourly"
"R8G Quadruple Extra Large","r8g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton4 Processor","2.7 GHz","EBS only","64-bit","Up to 15 Gigabit","$0.9426 hourly","$0.6235 hourly","$0.1988 hourly"
"M6ID Quadruple Extra Large","m6id.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$0.9492 hourly","$0.5980 hourly","$0.3447 hourly"
"M5N Quadruple Extra Large","m5n.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.9520 hourly","$0.6000 hourly","$0.3450 hourly"
"G6 Graphics and Machine Learning GPU Double Extra Large","g6.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R13 Processor","2.6 GHz","450 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$0.9776 hourly","$0.6364 hourly","$0.3558 hourly"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GiB","8 vCPUs","Intel Xeon Family","unknown","1680 GB                 (2 * 840 GB HDD)","64-bit","High","$0.9800 hourly","$0.4440 hourly","$0.3047 hourly"
"M5ZN 3xlarge","m5zn.3xlarge","48.0 GiB","12 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$0.9910 hourly","$0.6243 hourly","$0.4555 hourly"
"C7GN Quadruple Extra Large","c7gn.4xlarge","32.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","50 Gigabit","$0.9984 hourly","$0.6290 hourly","$0.1964 hourly"
"D3 Double Extra Large","d3.2xlarge","64.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","11880 GB                 (6 * 1980 GB NVMe HDD)","64-bit","Up to 15 Gigabit","$0.9990 hourly","$0.6290 hourly","$0.3071 hourly"
"G5 Graphics and Machine Learning GPU Extra Large","g5.xlarge","16.0 GiB","4 vCPUs","AMD EPYC 7R32","2.8 GHz","250 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$1.0060 hourly","$0.6338 hourly","$0.3769 hourly"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$1.0080 hourly","$0.6350 hourly","$0.4223 hourly"
"R6I Quadruple Extra Large","r6i.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$1.0080 hourly","$0.6668 hourly","$0.3893 hourly"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 7571","2.5 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$1.0480 hourly","$0.6600 hourly","$0.4733 hourly"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","55920 GB                 (4 * 13980 GB NVMe HDD)","64-bit","Up to 25 Gigabit","$1.0510 hourly","$0.6620 hourly","$0.2745 hourly"
"R7I Quadruple Extra Large","r7i.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$1.0584 hourly","$0.7001 hourly","$0.3871 hourly"
"R4 High-Memory Quadruple Extra Large","r4.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$1.0640 hourly","$0.6720 hourly","$0.4081 hourly"
"M5DN Quadruple Extra Large","m5dn.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 25 Gigabit","$1.0880 hourly","$0.6850 hourly","$0.4318 hourly"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","12 Gigabit","$1.0880 hourly","$0.6854 hourly","$0.2739 hourly"
"R7GD Quadruple Extra Large","r7gd.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 15 Gigabit","$1.0886 hourly","$0.6842 hourly","$0.4675 hourly"
"M6IN Quadruple Extra Large","m6in.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 50 Gigabit","$1.1138 hourly","$0.7017 hourly","$0.5258 hourly"
"Z1D 3xlarge","z1d.3xlarge","96.0 GiB","12 vCPUs","Intel Xeon Platinum 8151","4 GHz","450 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$1.1160 hourly","$0.7030 hourly","$0.3477 hourly"
"G3 Graphics GPU Quadruple Extra Large","g3.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","EBS only","64-bit","Up to 10 Gigabit","$1.1400 hourly","$0.7781 hourly","$0.3229 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$1.1520 hourly","$0.7260 hourly","$0.5498 hourly"
"IS4GEN Double Extra Large","is4gen.2xlarge","48.0 GiB","8 vCPUs","AWS Graviton2 Processor","2.5 GHz","7500 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.1526 hourly","$0.7861 hourly","$0.2584 hourly"
"C7G Eight Extra Large","c7g.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","15 Gigabit","$1.1600 hourly","$0.7644 hourly","$0.2813 hourly"
"INF1 6xlarge","inf1.6xlarge","48.0 GiB","24 vCPUs","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","EBS only","64-bit","25 Gigabit","$1.1800 hourly","$0.7440 hourly","$0.3571 hourly"
"R5B Quadruple Extra Large","r5b.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","EBS only","64-bit","Up to 10 Gigabit","$1.1920 hourly","$0.7510 hourly","$0.8070 hourly"
"R5N Quadruple Extra Large","r5n.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$1.1920 hourly","$0.7510 hourly","$0.5429 hourly"
"G4DN Quadruple Extra Large","g4dn.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon Family","2.5 GHz","225 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.2040 hourly","$0.7590 hourly","$0.3964 hourly"
"R6ID Quadruple Extra Large","r6id.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$1.2096 hourly","$0.7602 hourly","$0.5422 hourly"
"G5 Graphics and Machine Learning GPU Double Extra Large","g5.2xlarge","32.0 GiB","8 vCPUs","AMD EPYC 7R32","2.8 GHz","450 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$1.2120 hourly","$0.7636 hourly","$0.4246 hourly"
"R7A Quadruple Extra Large","r7a.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$1.2172 hourly","$0.8052 hourly","$0.3805 hourly"
"C6A Eight Extra Large","c6a.8xlarge","64.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","12.5 Gigabit","$1.2240 hourly","$0.8097 hourly","$0.4276 hourly"
"C6GD Eight Extra Large","c6gd.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","12 Gigabit","$1.2288 hourly","$0.7741 hourly","$0.2767 hourly"
"C5A Eight Extra Large","c5a.8xlarge","64.0 GiB","32 vCPUs","AMD EPYC 7R32","3.3 GHz","EBS only","64-bit","10 Gigabit","$1.2320 hourly","$0.7760 hourly","$0.4721 hourly"
"M6G Eight Extra Large","m6g.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton2 Processor","unknown","EBS only","64-bit","12 Gigabit","$1.2320 hourly","$0.7728 hourly","$0.3331 hourly"
"I4G Quadruple Extra Large","i4g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","3750 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.2355 hourly","$0.8018 hourly","$0.4907 hourly"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","3800 GB                 (2 * 1900 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$1.2480 hourly","$0.8570 hourly","$0.4792 hourly"
"M6IDN Quadruple Extra Large","m6idn.4xlarge","64.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 50 Gigabit","$1.2730 hourly","$0.8020 hourly","$0.6802 hourly"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","Intel Xeon Platinum 8259CL","2.5 GHz","EBS only","64-bit","6.25 Gigabit","$1.3000 hourly","$0.8190 hourly","$0.6271 hourly"
"M7G Eight Extra Large","m7g.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","15 Gigabit","$1.3056 hourly","$0.8637 hourly","$0.4588 hourly"
"G6 Graphics and Machine Learning GPU Quadruple Extra Large","g6.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R13 Processor","2.6 GHz","600 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.3232 hourly","$0.8614 hourly","$0.4263 hourly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","16 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","320 GB                 SSD","64-bit","High","$1.3300 hourly","$0.8360 hourly","$0.3608 hourly"
"R5DN Quadruple Extra Large","r5dn.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","600 GB                 (2 * 300 GB NVMe SSD)","64-bit","Up to 25 Gigabit","$1.3360 hourly","$0.8420 hourly","$0.6306 hourly"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$1.3360 hourly","$0.8233 hourly","$0.3485 hourly"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","Intel Xeon Scalable (Icelake)","Up to 3.5 GHz","474 GB                 NVMe SSD","64-bit","Up to 12.5 Gigabit","$1.3438 hourly","$0.8268 hourly","$0.3631 hourly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","12 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","7500 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.3560 hourly","$0.9240 hourly","$0.3518 hourly"
"C6I Eight Extra Large","c6i.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","12.5 Gigabit","$1.3600 hourly","$0.8996 hourly","$0.4630 hourly"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","12 Gigabit","$1.3720 hourly","$0.8644 hourly","$0.2911 hourly"
"I4I Quadruple Extra Large","i4i.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","3750 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.3730 hourly","$0.8910 hourly","$0.5844 hourly"
"C5AD Eight Extra Large","c5ad.8xlarge","64.0 GiB","32 vCPUs","AMD EPYC 7R32","3.3 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","10 Gigabit","$1.3760 hourly","$0.8670 hourly","$0.5730 hourly"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$1.3760 hourly","$0.8670 hourly","$0.4894 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","12288 GB                 (6 * 2048 GB HDD)","64-bit","High","$1.3800 hourly","$0.8040 hourly","$0.2946 hourly"
"M6A Eight Extra Large","m6a.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","12.5 Gigabit","$1.3824 hourly","$0.9145 hourly","$0.5137 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","50 Gigabit","$1.3824 hourly","$0.8725 hourly","$0.5174 hourly"
"R6IN Quadruple Extra Large","r6in.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","Up to 50 Gigabit","$1.3946 hourly","$0.8786 hourly","$0.7413 hourly"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","12.5 Gigabit","$1.4280 hourly","$0.9446 hourly","$0.5161 hourly"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","12 Gigabit","$1.4464 hourly","$0.9112 hourly","$0.4914 hourly"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","15 Gigabit","$1.4515 hourly","$0.9148 hourly","$0.4158 hourly"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","AWS Graviton2 Processor","2.5 GHz","7500 GB                 NVMe SSD","64-bit","25 Gigabit","$1.4552 hourly","$0.9332 hourly","$0.3012 hourly"
"R7IZ Quadruple Extra Large","r7iz.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.9 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$1.4880 hourly","$0.9374 hourly","$0.4875 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","EBS only","64-bit","12 Gigabit","$1.5300 hourly","$0.9640 hourly","$0.4733 hourly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.5 GHz","EBS only","64-bit","Up to 12.5 Gigabit","$1.5322 hourly","$1.0135 hourly","$0.5611 hourly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","12.5 Gigabit","$1.5360 hourly","$1.0161 hourly","$0.4762 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","EBS only","64-bit","10 Gigabit","$1.5360 hourly","$0.9680 hourly","$0.5158 hourly"
"Gr6 Graphics and Machine Learning GPU High RAM ratio Quadruple Extra Large","gr6.4xlarge","128.0 GiB","16 vCPUs","AMD EPYC 7R32","2.6 GHz","600 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.5392 hourly","$1.0020 hourly","$0.4804 hourly"
"R6IDN Quadruple Extra Large","r6idn.4xlarge","128.0 GiB","16 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","950 GB                 NVMe SSD","64-bit","Up to 50 Gigabit","$1.5631 hourly","$0.9848 hourly","$0.7772 hourly"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","36 vCPUs","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","EBS only","64-bit","10 Gigabit","$1.5910 hourly","$1.0080 hourly","$0.5264 hourly"
"M7I Eight Extra Large","m7i.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","EBS only","64-bit","12.5 Gigabit","$1.6128 hourly","$1.0669 hourly","$0.5714 hourly"
"C6ID Eight Extra Large","c6id.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","1900 GB                 NVMe SSD","64-bit","12.5 Gigabit","$1.6128 hourly","$1.0164 hourly","$0.4914 hourly"
"R6G Eight Extra Large","r6g.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","12 Gigabit","$1.6128 hourly","$1.0161 hourly","$0.3395 hourly"
"G5 Graphics and Machine Learning GPU Quadruple Extra Large","g5.4xlarge","64.0 GiB","16 vCPUs","AMD EPYC 7R32","2.8 GHz","600 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.6240 hourly","$1.0231 hourly","$0.4628 hourly"
"C6G 12xlarge","c6g.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","EBS only","64-bit","20 Gigabit","$1.6320 hourly","$1.0282 hourly","$0.3338 hourly"
"C7A Eight Extra Large","c7a.8xlarge","64.0 GiB","32 vCPUs","AMD EPYC 9R14 Processor","3.7 GHz","EBS only","64-bit","12.5 Gigabit","$1.6422 hourly","$1.0863 hourly","$0.5532 hourly"
"M5AD Eight Extra Large","m5ad.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","Up to 10 Gigabit","$1.6480 hourly","$1.0380 hourly","$0.5632 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","470 GB                 NVMe SSD","64-bit","Up to 10 Gigabit","$1.6500 hourly","$1.1160 hourly","$0.5586 hourly"
"X2IEDN Double Extra Large","x2iedn.2xlarge","256.0 GiB","8 vCPUs","Intel Xeon Scalable (Icelake)","3.5 GHz","237 GB                 NVMe SSD","64-bit","Up to 25 Gigabit","$1.6672 hourly","$1.0259 hourly","$0.4190 hourly"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","8 vCPUs","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","240 GB                 SSD","64-bit","Up to 10 Gigabit","$1.6680 hourly","$1.0280 hourly","$0.3627 hourly"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","Intel Xeon Platinum 8252","4.5 GHz","EBS only","64-bit","Up to 25 Gigabit","$1.6680 hourly","$1.0269 hourly","$0.5437 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","32 vCPUs","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","640 GB                 (2 * 320 GB SSD)","64-bit","10 Gigabit","$1.6800 hourly","$1.1680 hourly","$0.3898 hourly"
"HPC7G Eight Extra Large","hpc7g.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable"
"HPC7G 16xlarge","hpc7g.16xlarge","128.0 GiB","64 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable"
"HPC7G Quadruple Extra Large","hpc7g.4xlarge","128.0 GiB","16 vCPUs","AWS Graviton3 Processor","2.6 GHz","EBS only","64-bit","200 Gigabit","$1.6832 hourly","$1.3255 hourly","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","8 vCPUs","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","1600 GB                 (2 * 800 GB SSD)","64-bit","High","$1.7050 hourly","$0.8480 hourly","$0.3519 hourly"
"M7GD Eight Extra Large","m7gd.8xlarge","128.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","15 Gigabit","$1.7086 hourly","$1.0764 hourly","$0.5273 hourly"
"R7G Eight Extra Large","r7g.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","15 Gigabit","$1.7136 hourly","$1.1335 hourly","$0.4313 hourly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","36 vCPUs","Intel Xeon Platinum 8124M","3.4 GHz","900 GB                 NVMe SSD","64-bit","12 Gigabit","$1.7280 hourly","$1.0890 hourly","$0.5858 hourly"
"G4AD Eight Extra Large","g4ad.8xlarge","128.0 GiB","32 vCPUs","AMD EPYC 7R32","2.8 GHz","1200 GB                 NVMe SSD","64-bit","15 Gigabit","$1.7340 hourly","$1.0924 hourly","$0.7060 hourly"
"C7G 12xlarge","c7g.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton3 Processor","2.5 GHz","EBS only","64-bit","22.5 Gigabit","$1.7400 hourly","$1.1466 hourly","$0.4464 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","32 vCPUs","Intel Xeon Platinum 8175","3.1 GHz","1200 GB                 (2 * 600 GB NVMe SSD)","64-bit","10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.7796 hourly"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 7571","2.5 GHz","EBS only","64-bit","Up to 10 Gigabit","$1.8080 hourly","$1.1390 hourly","$0.4972 hourly"
"C6IN Eight Extra Large","c6in.8xlarge","64.0 GiB","32 vCPUs","Intel Xeon 8375C (Ice Lake)","3.5 GHz","EBS only","64-bit","50 Gigabit","$1.8144 hourly","$1.1431 hourly","$0.7267 hourly"
"R6A Eight Extra Large","r6a.8xlarge","256.0 GiB","32 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","12.5 Gigabit","$1.8144 hourly","$1.2002 hourly","$0.4051 hourly"
"C6A 12xlarge","c6a.12xlarge","96.0 GiB","48 vCPUs","AMD EPYC 7R13 Processor","3.6 GHz","EBS only","64-bit","18.75 Gigabit","$1.8360 hourly","$1.2145 hourly","$0.5945 hourly"
"R6GD Eight Extra Large","r6gd.8xlarge","256.0 GiB","32 vCPUs","AWS Graviton2 Processor","2.5 GHz","1900 GB                 NVMe SSD","64-bit","12 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.5248 hourly"
"C6GD 12xlarge","c6gd.12xlarge","96.0 GiB","48 vCPUs","AWS Graviton2 Processor","2.5 GHz","2850 GB                 (2 * 1425 GB NVMe SSD)","64-bit","20 Gigabit","$1.8432 hourly","$1.1612 hourly","$0.3955 hourly"
